name,rooms,area,district,floor,uprice,sprice,age
贝越流明新苑,5,126.62,71,6,54888,695,14
淮海世纪花苑,6,148.49,82,20,64650,960,15
虹延小区,2,40.53,146,5,63656,258,22
双花公寓,3,77.7,181,19,64350,500,26
金谷苑,1,42.98,11,19,68869,296,23
南文大厦,5,145.12,132,27,75799,1100,17
四达路25弄,2,34.81,180,6,68371,238,40
大二小区,1,37.6,89,6,66489,250,32
玉峰花园,4,105.23,165,6,47514,500,22
申亚新华府,6,189.59,82,30,76480,1450,15
南杨小区(长清路),3,65.58,3,6,53369,350,22
御桥馨华苑,6,107.43,77,6,59573,640,13
文化名园,5,106.02,16,6,58007,615,14
共富二村,5,109.85,23,6,41420,455,11
明园森林都市,5,147.9,55,33,70993,1050,4
中华小区,2,47.67,82,7,69225,330,21
尊园,5,154.8,73,37,104651,1620,14
呼玛二村,2,47.44,70,6,39629,188,27
延武机电大楼,4,74.0,82,22,78378,580,27
梅苑,2,44.23,29,6,55392,245,23
东浜小区,2,44.22,158,6,81411,360,20
斜土新村,3,55.9,79,7,80500,450,30
打浦路210弄,2,42.0,79,5,78571,330,30
毕加索小镇(一期)(公寓),2,59.87,44,8,65141,390,7
零陵小区,2,47.0,73,5,78723,370,42
和平花苑,3,90.25,171,34,75900,685,20
瞿溪路937弄,2,41.55,17,6,75090,312,18
竹园新村(浦东),2,39.88,118,6,80240,320,28
民主敦发小区,2,61.58,70,6,43845,270,20
港机新村,2,50.9,37,5,58939,300,36
康桥月苑,3,71.94,66,6,44481,320,8
阳光威尼斯(三期),5,112.04,126,26,45519,510,11
上川路1468弄,5,94.31,92,6,35309,333,22
东安四村,2,39.25,73,6,81528,320,39
中远两湾城,5,141.96,12,34,72555,1030,11
曲阳新村,4,84.79,180,6,73121,620,23
蒙西小区,1,33.25,17,7,98646,328,21
新梅共和城,5,115.74,55,14,80352,930,13
上海未来,4,101.62,153,7,85121,865,12
万邦都市花园,2,54.8,28,11,91240,500,13
控江路650弄,3,50.57,80,6,58334,295,37
经纬阳光水岸家园(一期),4,110.58,4,11,51546,570,12
白雪公主,5,114.14,0,11,56947,650,13
浣纱五村,3,89.71,181,25,66882,600,20
御翠豪庭,5,166.94,39,27,101832,1700,9
缘圆宝邸,4,72.91,109,7,47318,345,9
岭南路100弄,2,41.84,72,6,57361,240,27
徐家汇花园,4,102.75,73,22,97323,1000,17
武宁路200弄,3,51.38,106,5,81743,420,38
三湘四季花城,2,58.21,98,18,46383,270,10
香溢花城(住宅),5,138.67,22,8,79325,1100,11
上海绿城,5,120.83,96,11,78209,945,13
通河四村,3,53.03,150,6,49971,265,23
兴泉小区,3,58.81,72,6,54412,320,21
闸殷路195弄,3,43.7,10,6,52631,230,26
达安花园,5,134.6,90,28,89153,1200,14
上大阳光乾泽园,5,112.6,4,6,44404,500,16
新凯家园,4,81.57,111,11,34939,285,11
虹桥豪苑,5,178.92,142,37,87636,1568,11
杉林新月环林东路875弄,4,83.48,3,18,63488,530,11
三门路358弄,3,55.98,16,7,54483,305,23
君御豪庭,4,113.7,108,35,109938,1250,8
中华小区,1,33.05,82,7,75037,248,21
柏林春天,8,178.25,137,11,53856,960,14
伟业金锦苑二村,5,98.14,154,6,56042,550,14
荣丰花园,5,115.79,9,6,73408,850,16
新凯家园,4,77.83,111,14,35333,275,11
三泉路415弄,2,41.26,72,6,55259,228,23
雪野二村,1,48.37,7,16,56853,275,24
斜土新村,2,40.9,79,7,77017,315,30
汤臣豪园一期,5,192.57,71,5,64911,1250,15
水岸秀苑,4,75.23,109,5,41206,310,12
瑞达苑,3,81.0,136,6,75308,610,22
宝地东花园,4,98.89,42,16,82920,820,5
雅州公寓,5,150.97,19,31,94588,1428,14
康平大楼,3,69.14,143,20,125831,870,28
斜土路1620号,3,56.88,81,16,79992,455,29
泰和路309弄,3,64.38,116,6,41161,265,24
好世凤凰城,4,89.33,173,4,58211,520,14
好世凤凰城,4,101.96,173,4,51490,525,14
鸿波大厦,3,87.48,145,24,66300,580,20
环球翡翠湾花园(公寓),4,94.46,3,16,62460,590,11
荣乐四村,3,57.62,100,6,36966,213,32
地杰国际城E欧泊时光,4,94.09,77,26,65894,620,10
古北菊翔苑(菊联路232弄),2,50.93,172,6,48105,245,9
桃林一小区,3,59.91,118,6,105992,635,22
新领地,2,67.39,136,29,60839,410,15
颐峰苑,5,141.16,73,18,102720,1450,12
慧芝湖花园,4,114.0,55,25,85964,980,10
通河一村,2,45.47,70,6,51682,235,23
莱茵半岛,5,125.0,10,8,65600,820,15
金沙雅苑(四期),4,93.62,161,17,71031,665,11
海滨二村(宝山),2,46.72,116,6,42808,200,36
昭通路17号,3,53.91,34,5,83472,450,42
康平小区,1,27.8,72,6,59352,165,34
悦达花苑,5,110.88,11,9,81168,900,18
文宝苑,4,76.19,172,11,49875,380,9
银都新村(1至7区),3,65.44,173,6,42023,275,22
金沙雅苑(四期),4,89.0,161,18,82584,735,9
新泾四村,3,48.52,27,6,64921,315,26
汇翠花园,6,194.3,73,34,72053,1400,14
兴南花园,5,153.24,81,24,68519,1050,22
华升新苑,5,143.77,42,17,83466,1200,13
浣纱五村,3,69.84,181,6,62285,435,21
安图新村,1,33.0,181,5,66666,220,39
南方新村,3,62.52,40,6,58381,365,22
古美小区,3,59.82,40,6,47642,285,27
同兴大楼,1,29.0,34,6,88965,258,37
圣马丽诺桥语,8,355.58,44,2,61870,2200,12
宝钢九村,3,63.0,116,13,42063,265,29
金羽名庭,3,75.73,112,11,81605,618,13
万里欣苑,4,96.05,2,18,72358,695,11
樱花园(徐汇),3,50.41,65,6,60503,305,25
新梅公寓,5,119.92,40,7,50033,600,18
控江七村,2,29.53,80,5,71114,210,33
电机一二村,2,47.78,133,5,33486,160,40
平吉二村,2,51.0,40,6,51372,262,20
上南六村,1,34.6,7,5,63583,220,31
开鲁三村,3,75.54,10,18,50966,385,17
鑫国家园,6,164.43,73,24,94265,1550,16
中海万锦城(一期),4,90.07,6,28,93038,838,7
新梅莘苑,4,92.0,137,32,67391,620,12
博三小区,3,62.7,154,6,58213,365,20
宝钢八村,2,33.03,116,5,43899,145,39
丽景新苑,3,66.77,13,5,53167,355,18
锦灏佳园,4,101.97,164,18,69137,705,15
局南村,2,44.49,145,6,65183,290,39
红旗四街坊,3,52.93,133,6,39675,210,27
中远两湾城,4,97.43,12,30,71846,700,14
上大阳光乾清园,5,112.0,4,6,40625,455,14
彭五小区,1,32.0,72,5,51562,165,27
龙南三四村,3,62.66,183,6,63198,396,24
金泰小区,3,63.21,154,7,59326,375,21
镇宁路465弄,2,46.88,158,6,86390,405,30
田林十三村,2,34.4,123,6,87209,300,31
日月新殿,5,111.77,3,6,60749,679,15
曹家巷小区,3,51.56,106,6,85337,440,27
上南九村,3,55.33,7,6,65064,360,31
丁香大楼,3,79.0,158,18,105063,830,25
田林十四村,2,37.6,123,6,85106,320,30
新丰小区,2,46.43,108,7,86151,400,22
延吉七村,3,66.07,181,14,56001,370,30
虹桥豪苑,4,107.71,142,37,106768,1150,11
金日世家,4,110.32,141,30,94724,1045,11
海联公寓,3,95.45,145,26,75432,720,26
彭新小区,2,47.72,72,6,52808,252,32
微山新村,2,40.72,49,5,65078,265,38
锦秋花园(别墅),6,168.23,4,3,47553,800,18
浣纱四村,3,59.2,181,6,63344,375,22
翠竹苑,4,78.6,3,6,54071,425,20
乐山大楼,3,61.49,73,24,80988,498,24
龙柏七村,2,50.26,184,5,61679,310,23
民心小区,1,31.92,11,6,77694,248,24
华光花园,5,138.0,157,14,61594,850,20
丰镇路16弄,3,61.17,110,6,53948,330,30
美兰湖岭域,6,92.29,130,6,63387,585,7
黄陵小区,3,48.0,122,6,59375,285,22
延吉四村,3,50.14,181,6,63821,320,32
临沂一村,2,39.32,37,6,49593,195,32
通河二村,2,39.41,150,6,51256,202,25
瑞冬小区,2,44.63,27,6,61617,275,23
引翔港小区,2,37.8,42,6,60846,230,29
竹园新村(浦东),1,33.75,118,6,88888,300,28
西南小区,3,51.49,89,6,69916,360,35
鞍山一村,3,61.58,171,5,68203,420,39
北华苑,3,68.75,53,6,57454,395,20
祁连二村,2,43.01,4,6,53010,228,23
竹园高层,3,65.72,118,26,69993,460,25
虹桥新城,4,107.47,11,11,80859,869,17
新泾三村,2,40.18,27,6,63464,255,32
上南大厦,2,59.65,7,24,56999,340,19
翠竹苑,3,64.65,3,6,47950,310,20
临沂七村,2,36.67,37,6,57812,212,27
西南小区,3,44.39,89,6,76593,340,35
保利西子湾,2,59.83,98,14,47634,285,8
永和二村,3,49.42,107,6,58680,290,22
曲一花苑,3,56.79,89,12,78358,445,34
光启路105号,2,35.65,147,7,93969,335,25
瑞虹新城(一期),3,51.24,14,39,106362,545,15
御上海,5,132.08,98,18,40505,535,8
嘉富丽苑,4,91.45,184,14,65609,600,14
兴泉小区,2,41.59,72,6,52897,220,22
东安二村,1,37.0,73,6,75675,280,42
武夷花园,5,136.83,11,12,89892,1230,15
华夏二路201弄,4,81.96,63,6,41483,340,22
愉景华庭,3,62.46,2,23,72046,450,10
上海知音苑,5,134.0,160,16,87313,1170,16
昌鑫家园,3,73.0,150,6,54794,400,17
由由三村,2,46.54,28,6,61882,288,20
越秀苑,5,124.55,6,27,64231,800,17
梧桐城邦三期,3,68.21,53,7,68904,470,7
建西小区,1,31.68,68,6,157828,500,33
莱茵半岛,5,139.43,10,17,68134,950,14
国定路600弄,3,49.9,16,6,64128,320,32
大华清水湾,5,150.41,106,18,82441,1240,13
樱花园(徐汇),2,46.0,65,6,69565,320,26
淞南三村,2,42.08,115,6,47053,198,22
场中路2401弄,2,37.96,72,6,52687,200,30
经纬阳光水岸家园(一期),5,129.57,4,13,51709,670,12
清馨苑,4,81.41,173,6,47291,385,17
康乐花园(闵行),4,93.0,133,6,29032,270,18
昌四小区,3,65.24,7,6,57480,375,21
茅台新苑,2,73.89,20,12,67668,500,27
通河四村,3,59.0,150,7,48813,288,20
田林七村,2,47.0,123,6,67021,315,35
紫腾苑小区,2,41.96,103,6,42897,180,21
海东公寓,4,83.44,28,6,56327,470,20
川沙路5245弄,3,72.0,63,6,38194,275,24
恒盛苑,5,137.62,157,18,82110,1130,13
丰庄十四街坊,2,51.98,13,6,47133,245,17
潍坊一村,2,30.5,121,6,90163,275,22
瑞丰园,3,62.81,4,11,49355,310,12
龙山新村,2,44.46,1,6,71974,320,29
梅园三村,3,61.68,118,6,89169,550,34
世纪苑,5,169.04,104,12,66848,1130,15
美丽家园,4,96.35,137,6,42760,412,19
春申府邸,4,82.24,137,11,58365,480,10
浅水湾恺悦名城,5,120.5,160,19,114522,1380,7
凌兆新村(上浦路510弄),3,57.5,3,6,54782,315,23
双辽新村,2,45.23,171,7,69644,315,25
淞南六村,2,46.08,115,6,47743,220,23
美岸栖庭(公寓),2,55.39,178,6,63188,350,12
绿厦小区,2,44.05,145,9,65834,290,35
谈家桥路163弄,2,44.0,55,6,61363,270,26
莲花公寓(闵行),3,83.87,40,5,63193,530,17
三佳花苑,3,52.79,0,6,69141,365,22
长寿苑,5,158.27,160,20,51178,810,17
金塔新村,3,62.68,173,6,39087,245,23
新市家园,3,58.48,110,6,56087,328,22
牡丹小区(浦东),2,52.05,136,6,88376,460,20
宏凯公寓,4,97.47,180,25,62583,610,19
金杨新村九街坊,3,63.07,153,6,57079,360,23
金禾新苑,3,72.0,3,11,61111,440,11
远中风华园(公寓),5,159.16,35,20,125659,2000,10
锦三角花园(公寓),5,134.84,28,11,71195,960,15
市政馨苑,3,74.93,127,7,66728,500,18
临沂八村,2,36.48,37,6,54824,200,28
奥森公寓,5,161.24,157,15,41552,670,18
振华大楼,3,64.64,19,20,85086,550,29
万峰梦湖苑,5,106.07,25,6,66465,705,14
控江西三村,2,50.59,181,6,59300,300,24
东安一村,4,110.49,73,4,63354,700,18
唐家沙小区,2,29.22,164,6,67761,198,35
长白三村,2,44.24,181,6,70072,310,38
加州水郡,5,161.91,87,20,83379,1350,7
澳门公寓,5,109.24,160,20,64079,700,19
双辽支路70弄,2,39.49,171,7,60774,240,26
恒达公寓,4,113.68,160,24,65974,750,20
绿波城,2,59.78,44,6,49347,295,11
铁岭路90弄,2,57.0,171,6,73684,420,37
仁恒广场,5,152.94,49,23,60154,920,21
静鼎安邦府邸(别墅),8,343.0,90,10,134110,4600,11
控江路680弄,2,37.19,80,5,61844,230,36
银都新村(1至7区),2,42.26,173,6,48035,203,21
曹杨九村,3,44.15,91,6,63420,280,39
千鹤小区,4,78.87,123,23,65931,520,19
虹梅小区,3,62.65,119,6,59058,370,22
乾溪新村,2,45.39,54,6,48468,220,23
环镇北路400弄,2,43.13,54,6,45907,198,22
东体小区,3,41.66,89,6,76812,320,34
金杨新村十街坊,3,49.69,153,6,59971,298,22
潍坊九村,2,37.01,121,6,112672,417,31
控江路1525弄,2,39.49,42,7,65839,260,24
锦秋花园(别墅),6,142.52,4,3,53325,760,13
华高一村,2,57.51,179,6,46774,269,21
天山华庭,4,80.07,56,18,96165,770,8
利西路277号,3,49.88,11,6,75180,375,36
延西小区,3,54.17,82,6,71995,390,28
财大小区,6,76.28,16,6,64892,495,22
栖山小区,1,27.52,112,3,68313,188,28
安源小区,4,93.89,6,21,73490,690,20
上海花城,5,129.91,11,18,75436,980,16
临沂六村,3,59.4,37,6,55555,330,25
西谈家渡路17弄,3,62.01,106,7,62893,390,27
紫腾苑小区,2,54.0,103,7,42592,230,18
宛南华侨新村,4,86.0,183,6,68372,588,36
康泉小区,1,32.26,72,6,53316,172,22
青春驿站,2,40.23,15,13,51702,208,10
祥东小区(虹口),2,43.81,89,6,71901,315,35
香溢花城(住宅),4,105.71,22,25,81354,860,11
中远两湾城,4,111.63,12,34,67186,750,12
新黄小区,2,35.23,122,5,51092,180,42
环球翡翠湾花园(公寓),5,137.0,3,16,74452,1020,11
金杨新村九街坊,4,64.19,153,6,56862,365,23
红庄小区,3,62.45,82,18,89671,560,27
白雪公主,5,115.0,0,11,59130,680,13
南文大厦,6,145.12,132,27,84068,1220,17
上南十一村,2,42.3,7,6,57919,245,24
滨江名人苑,5,147.02,182,31,93864,1380,14
毕加索小镇(一期)(公寓),3,60.03,44,8,69132,415,7
凌云公寓,3,75.96,3,18,53975,410,19
香山苑,4,101.7,91,24,67846,690,18
紫腾苑小区,1,33.38,103,7,49430,165,19
大木桥路450弄,3,49.91,81,6,79142,395,35
锦绣江南(一期),8,133.5,155,6,71161,950,15
瞿溪新村,1,29.8,8,6,82550,246,53
大运盛城,5,129.88,80,10,69140,898,16
中凯城市之光(静安),3,83.79,35,34,101444,850,14
永吉路97弄,3,67.9,80,7,61119,415,24
罗阳七村,2,37.1,104,6,54447,202,23
长风二村风荷园,1,28.71,163,6,65482,188,34
日晖二村,2,53.1,81,6,53672,285,63
里昂花园,5,159.28,39,13,57759,920,21
控江四村,1,31.82,181,5,58139,185,30
中信泰富又一城,4,89.86,45,36,38393,345,6
东明苑,3,76.93,7,24,64344,495,19
凯旋都市花园,4,111.36,82,33,76329,850,13
天山星城,3,75.27,56,18,92998,700,11
长新大楼,2,40.26,19,21,96870,390,30
牡丹小区(浦东),2,37.75,136,6,79470,300,21
控江路740弄,2,45.0,80,5,62222,280,38
凤凰小区,4,64.87,100,6,34838,226,32
红旗五村,3,52.82,133,4,33888,179,30
友谊新村,2,53.42,42,6,65518,350,32
上南大厦,2,59.65,7,24,50293,300,19
南方新村,2,47.43,40,6,60721,288,24
晨光公寓,4,89.33,63,6,41979,375,22
三门路358弄,2,42.87,16,7,51317,220,23
竹园高层,3,65.72,118,26,70754,465,25
滨江雅苑,5,132.21,53,10,62022,820,12
芳草路352弄,3,67.58,28,6,56969,385,23
旬阳新村,1,31.44,22,6,57251,180,29
万里名轩,4,100.17,2,10,63891,640,18
翰锦苑,4,98.0,3,13,63265,620,14
峨山路605弄,3,53.07,49,6,67834,360,25
仲信苑,3,64.25,11,6,105836,680,18
黎明花园,2,41.3,0,6,52058,215,22
菊泉新城(菊盛路50弄),4,82.22,172,14,36487,300,12
大运盛城,4,98.04,80,16,74969,735,15
靖宇东路85弄,3,82.4,181,7,63106,520,22
富特三村,3,57.15,52,6,48993,280,23
三泉安居苑,3,61.43,72,6,55835,343,21
品华苑,2,67.86,3,6,53050,360,18
凤城三村,2,33.28,80,6,62500,208,25
大华一村,2,43.9,53,6,56947,250,27
